_id,County Code,Perm ID,Facility Name,City,Building Nbr,Building Name,Building Status,SPC Rating *,Building URL,Height (ft),Stories,Building Code,Building Code Year,Year Completed,AB 1882 Notice,Latitude,Longitude,Count
11,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00696,North Wing,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=52HIS&capID2=00000&capID3=00004&agencyCode=OSHPD,50,4,1946 Uniform Building Code (UBC),1946,1952,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8208094,-122.2630806,1
12,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00698,East Wing,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=64HIS&capID2=00000&capID3=00015&agencyCode=OSHPD,62.5,5,1961 Uniform Building Code (UBC),1961,1964,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8208094,-122.2630806,1
13,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00699,Original West Wing,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=45HIS&capID2=00000&capID3=00001&agencyCode=OSHPD,36,3,1943 Uniform Building Code (UBC),1943,1945,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8208094,-122.2630806,1
14,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00700,West Service Wing - Building 1,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=64HIS&capID2=00000&capID3=00016&agencyCode=OSHPD,33.3,3,1961 Uniform Building Code (UBC),1961,1965,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8208094,-122.2630806,1
15,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00701,Physio-Therapy Building,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=60HIS&capID2=00000&capID3=00012&agencyCode=OSHPD,12,1,1952 Uniform Building Code (UBC),1952,1960,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8208094,-122.2630806,1
16,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00702,Original Emergency Wing,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=60HIS&capID2=00000&capID3=00013&agencyCode=OSHPD,12,1,1952 Uniform Building Code (UBC),1952,1960,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8208094,-122.2630806,1
17,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00703,Special Procedures Addition,OSHPD 1-In Service,3,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=74HIS&capID2=00000&capID3=00012&agencyCode=OSHPD,,1,1973 California Building Code (CBC),1973,1974,,37.8208094,-122.2630806,1
18,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00704,Emergency Department Expansion,OSHPD 1-In Service,5s,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=01HIS&capID2=00000&capID3=00013&agencyCode=OSHPD,,1,1995 California Building Code (CBC),1995,2002,,37.8208094,-122.2630806,1
19,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00705,Cogeneration Building,OSHPD 1-In Service,4,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=90HIS&capID2=00000&capID3=00024&agencyCode=OSHPD,11.75,1,1982 California Building Code (CBC),1982,1990,,37.8208094,-122.2630806,1
20,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00706,Emergency Generator Building,OSHPD 1-In Service,4,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=80HIS&capID2=00000&capID3=00499&agencyCode=OSHPD,,2,1973 California Building Code (CBC),1973,1982,,37.8208094,-122.2630806,1
21,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-00707,Transformer Building,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=69HIS&capID2=00000&capID3=00013&agencyCode=OSHPD,21.7,2,1967 Uniform Building Code (UBC),1967,1969,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8208094,-122.2630806,1
22,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-03431,South Wing - Phase 2,OSHPD 1-In Service,3,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=78HIS&capID2=00000&capID3=00055&agencyCode=OSHPD,102.5,6,1973 California Building Code (CBC),1973,1980,,37.8208094,-122.2630806,1
23,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-03433,West Service Wing - Building 2 - Structurally connected to BLD-00699,OSHPD 1-Not an Independent Building,N/A,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=64HIS&capID2=00000&capID3=00062&agencyCode=OSHPD,23,2,1961 Uniform Building Code (UBC),1961,1965,,37.8208094,-122.2630806,1
24,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-03434,Orig Emergency Wing - East Wing - Structurally connected to BLD-00702,OSHPD 1-Not an Independent Building,N/A,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=64HIS&capID2=00000&capID3=00063&agencyCode=OSHPD,,1,1961 Uniform Building Code (UBC),1961,1964,,37.8208094,-122.2630806,1
25,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-05300,Patient Care Pavilion,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=11CAP&capID2=00000&capID3=0034R&agencyCode=OSHPD,154.75,12,2007 California Building Code (CBC),2007,2014,,37.8208094,-122.2630806,1
26,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-06010,New LOX Tank,OSHPD 1-Equipment Yard,N/A,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=16CAP&capID2=00000&capID3=0023T&agencyCode=OSHPD,,,2013 California Building Code (CBC),2013,2019,,37.8208094,-122.2630806,1
27,01 - Alameda,11322,Alta Bates Summit Medical Center,Oakland,BLD-06060,Emergency Generator Yard,OSHPD 1-Equipment Yard,N/A,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=16CAP&capID2=00000&capID3=004UR&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,2014,,37.8208094,-122.2630806,1
28,01 - Alameda,11338,Alta Bates Summit Medical Center - Summit Campus,Oakland,BLD-00708,Main Hospital Building,OSHPD 1-In Service,3,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=78HIS&capID2=00000&capID3=00013&agencyCode=OSHPD,,6,1976 California Building Code (CBC),1976,1978,,37.8199008,-122.2643586,1
29,01 - Alameda,11338,Alta Bates Summit Medical Center - Summit Campus,Oakland,BLD-03443,Main Entrance Canopy,OSHPD 1-In Service,3,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=78HIS&capID2=00000&capID3=00057&agencyCode=OSHPD,,1,1976 California Building Code (CBC),1976,1978,,37.8199008,-122.2643586,1
30,01 - Alameda,11338,Alta Bates Summit Medical Center - Summit Campus,Oakland,BLD-03444,Bridge at Link,OSHPD 1-In Service,3,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=78HIS&capID2=00000&capID3=00058&agencyCode=OSHPD,,2,1976 California Building Code (CBC),1976,1978,,37.8199008,-122.2643586,1
31,01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,Berkeley,BLD-01285,Admin.,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=59HIS&capID2=00000&capID3=00011&agencyCode=OSHPD,13,1,1955 Uniform Building Code (UBC),1955,1959,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8559265,-122.257309,1
32,01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,Berkeley,BLD-01286,Laundry/Hall of Health,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=59HIS&capID2=00000&capID3=00012&agencyCode=OSHPD,25,2,1955 Uniform Building Code (UBC),1955,1959,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8559265,-122.257309,1
33,01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,Berkeley,BLD-01287,Boiler,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=68HIS&capID2=00000&capID3=00037&agencyCode=OSHPD,25,2,1961 Uniform Building Code (UBC),1961,1968,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8559265,-122.257309,1
34,01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,Berkeley,BLD-01288,1968 Building,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=68HIS&capID2=00000&capID3=00038&agencyCode=OSHPD,83,7,1961 Uniform Building Code (UBC),1961,1968,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8559265,-122.257309,1
35,01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,Berkeley,BLD-01289,1975 Building,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=75HIS&capID2=00000&capID3=00026&agencyCode=OSHPD,67,6,1970 Uniform Building Code (UBC),1970,1975,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.8559265,-122.257309,1
36,01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,Berkeley,BLD-01290,1985 Building,OSHPD 1-In Service,4,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=85HIS&capID2=00000&capID3=00017&agencyCode=OSHPD,,2,1979 California Building Code (CBC),1979,1988,,37.8559265,-122.257309,1
37,01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,Berkeley,BLD-01291,Electric Service Building,OSHPD 1-In Service,4,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=85HIS&capID2=00000&capID3=00018&agencyCode=OSHPD,,2,1979 California Building Code (CBC),1979,1988,,37.8559265,-122.257309,1
38,01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,Berkeley,BLD-01292,Oxygen Tank Enclosure,OSHPD 1-Equipment Yard,N/A,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=85HIS&capID2=00000&capID3=00019&agencyCode=OSHPD,,1,1979 California Building Code (CBC),1979,1988,,37.8559265,-122.257309,1
39,01 - Alameda,18180,Eden Medical Center,Castro Valley,BLD-05340,Replacement Hospital,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=001A5&agencyCode=OSHPD,117.5,6,2007 California Building Code (CBC),2007,2014,,37.69838,-122.0873925,1
40,01 - Alameda,18180,Eden Medical Center,Castro Valley,BLD-05341,Chiller Building,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=001A6&agencyCode=OSHPD,18,1,2007 California Building Code (CBC),2007,2014,,37.69838,-122.0873925,1
41,01 - Alameda,18180,Eden Medical Center,Castro Valley,BLD-05342,Main Entrance Canopy,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=001A7&agencyCode=OSHPD,17,1,2007 California Building Code (CBC),2007,2014,,37.69838,-122.0873925,1
42,01 - Alameda,18180,Eden Medical Center,Castro Valley,BLD-05343,Emergency Entrance Canopy,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=001A8&agencyCode=OSHPD,17,1,2007 California Building Code (CBC),2007,2014,,37.69838,-122.0873925,1
43,01 - Alameda,11268,Fairmont Hospital,San Leandro,BLD-01311,Building B,OSHPD 2-Skilled Nursing Only,N/A,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=30HIS&capID2=00000&capID3=00002&agencyCode=OSHPD,,3,1927 Uniform Building Code (UBC),1927,1930,,37.7100449,-122.1153183,1
44,01 - Alameda,11268,Fairmont Hospital,San Leandro,BLD-01312,Building H,OSHPD 1R-Delicensed Clinic under OSHPD,N/A,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=61HIS&capID2=00000&capID3=00015&agencyCode=OSHPD,23,2,1955 Uniform Building Code (UBC),1955,1961,,37.7100449,-122.1153183,1
45,01 - Alameda,11288,Highland Hospital,Oakland,BLD-01315,Critical Care Building,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=06HIS&capID2=00000&capID3=00026&agencyCode=OSHPD,74.48,5,1995 California Building Code (CBC),1995,2006,,37.7991754,-122.2310563,1
46,01 - Alameda,11288,Highland Hospital,Oakland,BLD-02957,New Acute Care Building,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00171&agencyCode=OSHPD,137.75,9,2007 California Building Code (CBC),2007,2019,,37.7991754,-122.2310563,1
47,01 - Alameda,11288,Highland Hospital,Oakland,BLD-06256,Critical Care Parking Structure,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=17CAP&capID2=00000&capID3=005VZ&agencyCode=OSHPD,50.04,6,1995 California Building Code (CBC),1995,2006,,37.7991754,-122.2310563,1
48,01 - Alameda,11288,Highland Hospital,Oakland,BLD-06880,Oxygen Yard,OSHPD 1-Equipment Yard,N/A,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=22CAP&capID2=00000&capID3=0021G&agencyCode=OSHPD,0,,2007 California Building Code (CBC),2007,2019,,37.7991754,-122.2310563,1
49,01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,Fremont,BLD-02489,Hospital Patient Wing North,OSHPD 1-In Service,3,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00065&agencyCode=OSHPD,,2,1989 California Building Code (CBC),1989,1995,,37.5518335,-121.9776935,1
50,01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,Fremont,BLD-02490,Hospital Patient Wing South,OSHPD 1-In Service,3,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00066&agencyCode=OSHPD,,2,1989 California Building Code (CBC),1989,1995,,37.5518335,-121.9776935,1
51,01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,Fremont,BLD-02491,Hospital North,OSHPD 1-In Service,3,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00067&agencyCode=OSHPD,,2,1989 California Building Code (CBC),1989,1995,,37.5518335,-121.9776935,1
52,01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,Fremont,BLD-02492,Hospital South,OSHPD 1-In Service,3,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00068&agencyCode=OSHPD,,2,1989 California Building Code (CBC),1989,1995,,37.5518335,-121.9776935,1
53,01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,Fremont,BLD-02493,Central Plant,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00069&agencyCode=OSHPD,,1,1989 California Building Code (CBC),1989,1995,,37.5518335,-121.9776935,1
54,01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,Fremont,BLD-02494,General Services Building,OSHPD 1-In Service,3,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=90HIS&capID2=00000&capID3=00058&agencyCode=OSHPD,15,1,1989 California Building Code (CBC),1989,1991,,37.5518335,-121.9776935,1
55,01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,Fremont,BLD-07247,Entry Canopy,OSHPD 1-In Service,4s,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=24CAP&capID2=00000&capID3=009LD&agencyCode=OSHPD,,1,Unknown,,,,37.5518335,-121.9776935,1
56,01 - Alameda,18206,Kaiser Foundation Hospital - Oakland/Richmond,Oakland,BLD-02986,Hospital,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00173&agencyCode=OSHPD,192,12,2007 California Building Code (CBC),2007,2014,,37.8233092,-122.2592711,1
57,01 - Alameda,18206,Kaiser Foundation Hospital - Oakland/Richmond,Oakland,BLD-02987,Central Plant,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00174&agencyCode=OSHPD,46.33,2,2007 California Building Code (CBC),2007,2014,,37.8233092,-122.2592711,1
58,01 - Alameda,18206,Kaiser Foundation Hospital - Oakland/Richmond,Oakland,BLD-05716,Loading Dock and Plaza,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=14CAP&capID2=00000&capID3=0009N&agencyCode=OSHPD,17,1,2007 California Building Code (CBC),2007,2014,,37.8233092,-122.2592711,1
59,01 - Alameda,18186,Kaiser Foundation Hospital - San Leandro,San Leandro,BLD-03481,Templated Hospital Project,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00420&agencyCode=OSHPD,92,6,2007 California Building Code (CBC),2007,2015,,37.7062596,-122.1692482,1
60,01 - Alameda,18186,Kaiser Foundation Hospital - San Leandro,San Leandro,BLD-03482,Central Utility Plant,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00421&agencyCode=OSHPD,40,2,2007 California Building Code (CBC),2007,2014,,37.7062596,-122.1692482,1
61,01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,San Leandro,BLD-00692,Original Building,OSHPD 1-In Service,2,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=61HIS&capID2=00000&capID3=00007&agencyCode=OSHPD,51.5,4,1958 Uniform Building Code (UBC),1958,1961,"This building does not significantly jeopardize life, but may not be repairable or functional following an earthquake.",37.7167397,-122.1298676,1
62,01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,San Leandro,BLD-00693,Outpatient Diag. & Treat. Center,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=75HIS&capID2=00000&capID3=00019&agencyCode=OSHPD,,1,1973 California Building Code (CBC),1973,1976,,37.7167397,-122.1298676,1
63,01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,San Leandro,BLD-00694,Boiler Enclosure,OSHPD 1-In Service,4,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=99HIS&capID2=00000&capID3=00021&agencyCode=OSHPD,,1,1992 California Building Code (CBC),1992,1999,,37.7167397,-122.1298676,1
64,01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,San Leandro,BLD-03083,Surgery Addition - Structurally connected to BLD-00692,OSHPD 1-Not an Independent Building,N/A,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=82HIS&capID2=00000&capID3=00045&agencyCode=OSHPD,,1,1979 California Building Code (CBC),1979,1982,,37.7167397,-122.1298676,1
65,01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,San Leandro,BLD-05427,Emergency Generator,OSHPD 1-Equipment Yard,N/A,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=005GA&agencyCode=OSHPD,,,1973 California Building Code (CBC),1973,1976,,37.7167397,-122.1298676,1
66,01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,San Leandro,BLD-05428,Liquid Oxygen Enclosure,OSHPD 1-Equipment Yard,N/A,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=005GB&agencyCode=OSHPD,,,1989 California Building Code (CBC),1989,1993,,37.7167397,-122.1298676,1
67,01 - Alameda,11256,San Leandro Hospital,San Leandro,BLD-01300,Main/Original Building,OSHPD 1-In Service,3,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=81HIS&capID2=00000&capID3=00019&agencyCode=OSHPD,,4,1976 California Building Code (CBC),1976,1981,,37.7145685,-122.1418836,1
68,01 - Alameda,11256,San Leandro Hospital,San Leandro,BLD-02709,Emergency Addition,OSHPD 1-In Service,5,https://esp.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=01HIS&capID2=00000&capID3=00035&agencyCode=OSHPD,,1,1995 California Building Code (CBC),1995,2001,,37.7145685,-122.1418836,1
